Threshold,Our Precision,Our Recall,Our F1,Selfcheck Precision,Selfcheck Recall,Selfcheck F1
0.0,0.29,1.0,0.44961240310077516,0.29,1.0,0.44961240310077516
0.01,0.3333333333333333,0.8620689655172413,0.4807692307692308,0.38333333333333336,0.7931034482758621,0.5168539325842697
0.02,0.3333333333333333,0.8620689655172413,0.4807692307692308,0.38333333333333336,0.7931034482758621,0.5168539325842697
0.03,0.3333333333333333,0.8620689655172413,0.4807692307692308,0.38333333333333336,0.7931034482758621,0.5168539325842697
0.04,0.3333333333333333,0.8620689655172413,0.4807692307692308,0.38333333333333336,0.7931034482758621,0.5168539325842697
0.05,0.3333333333333333,0.8620689655172413,0.4807692307692308,0.38333333333333336,0.7931034482758621,0.5168539325842697
0.06,0.3333333333333333,0.8620689655172413,0.4807692307692308,0.38333333333333336,0.7931034482758621,0.5168539325842697
0.07,0.3333333333333333,0.8620689655172413,0.4807692307692308,0.38333333333333336,0.7931034482758621,0.5168539325842697
0.08,0.3333333333333333,0.8620689655172413,0.4807692307692308,0.38333333333333336,0.7931034482758621,0.5168539325842697
0.09,0.3333333333333333,0.8620689655172413,0.4807692307692308,0.38333333333333336,0.7931034482758621,0.5168539325842697
0.1,0.3333333333333333,0.8620689655172413,0.4807692307692308,0.38333333333333336,0.7931034482758621,0.5168539325842697
0.11,0.38596491228070173,0.7586206896551724,0.5116279069767441,0.40816326530612246,0.6896551724137931,0.5128205128205129
0.12,0.38596491228070173,0.7586206896551724,0.5116279069767441,0.40816326530612246,0.6896551724137931,0.5128205128205129
0.13,0.38596491228070173,0.7586206896551724,0.5116279069767441,0.40816326530612246,0.6896551724137931,0.5128205128205129
0.14,0.38596491228070173,0.7586206896551724,0.5116279069767441,0.40816326530612246,0.6896551724137931,0.5128205128205129
0.15,0.38596491228070173,0.7586206896551724,0.5116279069767441,0.40816326530612246,0.6896551724137931,0.5128205128205129
0.16,0.38596491228070173,0.7586206896551724,0.5116279069767441,0.40816326530612246,0.6896551724137931,0.5128205128205129
0.17,0.38596491228070173,0.7586206896551724,0.5116279069767441,0.40816326530612246,0.6896551724137931,0.5128205128205129
0.18,0.38596491228070173,0.7586206896551724,0.5116279069767441,0.40816326530612246,0.6896551724137931,0.5128205128205129
0.19,0.38596491228070173,0.7586206896551724,0.5116279069767441,0.40816326530612246,0.6896551724137931,0.5128205128205129
0.2,0.38596491228070173,0.7586206896551724,0.5116279069767441,0.40816326530612246,0.6896551724137931,0.5128205128205129
0.21,0.4,0.6896551724137931,0.5063291139240508,0.391304347826087,0.6206896551724138,0.48
0.22,0.4,0.6896551724137931,0.5063291139240508,0.391304347826087,0.6206896551724138,0.48
0.23,0.4,0.6896551724137931,0.5063291139240508,0.391304347826087,0.6206896551724138,0.48
0.24,0.4,0.6896551724137931,0.5063291139240508,0.391304347826087,0.6206896551724138,0.48
0.25,0.4,0.6896551724137931,0.5063291139240508,0.391304347826087,0.6206896551724138,0.48
0.26,0.4,0.6896551724137931,0.5063291139240508,0.391304347826087,0.6206896551724138,0.48
0.27,0.4,0.6896551724137931,0.5063291139240508,0.391304347826087,0.6206896551724138,0.48
0.28,0.4,0.6896551724137931,0.5063291139240508,0.391304347826087,0.6206896551724138,0.48
0.29,0.4,0.6896551724137931,0.5063291139240508,0.391304347826087,0.6206896551724138,0.48
0.3,0.4,0.6896551724137931,0.5063291139240508,0.391304347826087,0.6206896551724138,0.48
0.31,0.5428571428571428,0.6551724137931034,0.5937499999999999,0.3783783783783784,0.4827586206896552,0.42424242424242425
0.32,0.5428571428571428,0.6551724137931034,0.5937499999999999,0.3783783783783784,0.4827586206896552,0.42424242424242425
0.33,0.5428571428571428,0.6551724137931034,0.5937499999999999,0.3783783783783784,0.4827586206896552,0.42424242424242425
0.34,0.5428571428571428,0.6551724137931034,0.5937499999999999,0.3783783783783784,0.4827586206896552,0.42424242424242425
0.35,0.5428571428571428,0.6551724137931034,0.5937499999999999,0.3783783783783784,0.4827586206896552,0.42424242424242425
0.36,0.5428571428571428,0.6551724137931034,0.5937499999999999,0.3783783783783784,0.4827586206896552,0.42424242424242425
0.37,0.5428571428571428,0.6551724137931034,0.5937499999999999,0.3783783783783784,0.4827586206896552,0.42424242424242425
0.38,0.5428571428571428,0.6551724137931034,0.5937499999999999,0.3783783783783784,0.4827586206896552,0.42424242424242425
0.39,0.5428571428571428,0.6551724137931034,0.5937499999999999,0.3783783783783784,0.4827586206896552,0.42424242424242425
0.4,0.5428571428571428,0.6551724137931034,0.5937499999999999,0.3783783783783784,0.4827586206896552,0.42424242424242425
0.41,0.6666666666666666,0.5517241379310345,0.6037735849056604,0.36363636363636365,0.41379310344827586,0.3870967741935484
0.42,0.6666666666666666,0.5517241379310345,0.6037735849056604,0.36363636363636365,0.41379310344827586,0.3870967741935484
0.43,0.6666666666666666,0.5517241379310345,0.6037735849056604,0.36363636363636365,0.41379310344827586,0.3870967741935484
0.44,0.6666666666666666,0.5517241379310345,0.6037735849056604,0.36363636363636365,0.41379310344827586,0.3870967741935484
0.45,0.6666666666666666,0.5517241379310345,0.6037735849056604,0.36363636363636365,0.41379310344827586,0.3870967741935484
0.46,0.6956521739130435,0.5517241379310345,0.6153846153846154,0.36363636363636365,0.41379310344827586,0.3870967741935484
0.47,0.6956521739130435,0.5517241379310345,0.6153846153846154,0.36363636363636365,0.41379310344827586,0.3870967741935484
0.48,0.6956521739130435,0.5517241379310345,0.6153846153846154,0.36363636363636365,0.41379310344827586,0.3870967741935484
