Threshold,Our Precision,Our Recall,Our F1,Selfcheck Precision,Selfcheck Recall,Selfcheck F1
0.0,0.48,1.0,0.6486486486486487,0.48,1.0,0.6486486486486487
0.01,0.4772727272727273,0.875,0.6176470588235294,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.02,0.4772727272727273,0.875,0.6176470588235294,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.03,0.4772727272727273,0.875,0.6176470588235294,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.04,0.4772727272727273,0.875,0.6176470588235294,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.05,0.4772727272727273,0.875,0.6176470588235294,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.06,0.4939759036144578,0.8541666666666666,0.6259541984732824,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.07,0.4939759036144578,0.8541666666666666,0.6259541984732824,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.08,0.4939759036144578,0.8541666666666666,0.6259541984732824,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.09,0.4939759036144578,0.8541666666666666,0.6259541984732824,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.1,0.4939759036144578,0.8541666666666666,0.6259541984732824,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.11,0.527027027027027,0.8125,0.6393442622950819,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.12,0.527027027027027,0.8125,0.6393442622950819,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.13,0.527027027027027,0.8125,0.6393442622950819,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.14,0.527027027027027,0.8125,0.6393442622950819,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.15,0.527027027027027,0.8125,0.6393442622950819,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.16,0.5352112676056338,0.7916666666666666,0.6386554621848739,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.17,0.5352112676056338,0.7916666666666666,0.6386554621848739,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.18,0.5352112676056338,0.7916666666666666,0.6386554621848739,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.19,0.5352112676056338,0.7916666666666666,0.6386554621848739,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.2,0.5352112676056338,0.7916666666666666,0.6386554621848739,0.6296296296296297,0.3541666666666667,0.45333333333333337
0.21,0.6129032258064516,0.7916666666666666,0.6909090909090909,0.8571428571428571,0.25,0.3870967741935483
0.22,0.6129032258064516,0.7916666666666666,0.6909090909090909,0.8571428571428571,0.25,0.3870967741935483
0.23,0.6129032258064516,0.7916666666666666,0.6909090909090909,0.8571428571428571,0.25,0.3870967741935483
0.24,0.6129032258064516,0.7916666666666666,0.6909090909090909,0.8571428571428571,0.25,0.3870967741935483
0.25,0.6129032258064516,0.7916666666666666,0.6909090909090909,0.8571428571428571,0.25,0.3870967741935483
0.26,0.6333333333333333,0.7916666666666666,0.7037037037037038,0.8571428571428571,0.25,0.3870967741935483
0.27,0.6333333333333333,0.7916666666666666,0.7037037037037038,0.8571428571428571,0.25,0.3870967741935483
0.28,0.6333333333333333,0.7916666666666666,0.7037037037037038,0.8571428571428571,0.25,0.3870967741935483
0.29,0.6333333333333333,0.7916666666666666,0.7037037037037038,0.8571428571428571,0.25,0.3870967741935483
0.3,0.6333333333333333,0.7916666666666666,0.7037037037037038,0.8571428571428571,0.25,0.3870967741935483
0.31,0.6666666666666666,0.7083333333333334,0.6868686868686869,0.8571428571428571,0.25,0.3870967741935483
0.32,0.6666666666666666,0.7083333333333334,0.6868686868686869,0.8571428571428571,0.25,0.3870967741935483
0.33,0.6666666666666666,0.7083333333333334,0.6868686868686869,0.8571428571428571,0.25,0.3870967741935483
0.34,0.6666666666666666,0.7083333333333334,0.6868686868686869,0.8571428571428571,0.25,0.3870967741935483
0.35,0.6666666666666666,0.7083333333333334,0.6868686868686869,0.8571428571428571,0.25,0.3870967741935483
0.36,0.6888888888888889,0.6458333333333334,0.6666666666666667,0.8571428571428571,0.25,0.3870967741935483
0.37,0.6888888888888889,0.6458333333333334,0.6666666666666667,0.8571428571428571,0.25,0.3870967741935483
0.38,0.6888888888888889,0.6458333333333334,0.6666666666666667,0.8571428571428571,0.25,0.3870967741935483
0.39,0.6888888888888889,0.6458333333333334,0.6666666666666667,0.8571428571428571,0.25,0.3870967741935483
0.4,0.6888888888888889,0.6458333333333334,0.6666666666666667,0.8571428571428571,0.25,0.3870967741935483
0.41,0.7317073170731707,0.625,0.6741573033707865,0.8571428571428571,0.25,0.3870967741935483
0.42,0.7317073170731707,0.625,0.6741573033707865,0.8571428571428571,0.25,0.3870967741935483
0.43,0.7317073170731707,0.625,0.6741573033707865,0.8571428571428571,0.25,0.3870967741935483
0.44,0.7317073170731707,0.625,0.6741573033707865,0.8571428571428571,0.25,0.3870967741935483
0.45,0.7317073170731707,0.625,0.6741573033707865,0.8571428571428571,0.25,0.3870967741935483
0.46,0.7368421052631579,0.5833333333333334,0.6511627906976745,0.8571428571428571,0.25,0.3870967741935483
0.47,0.7368421052631579,0.5833333333333334,0.6511627906976745,0.8571428571428571,0.25,0.3870967741935483
0.48,0.7368421052631579,0.5833333333333334,0.6511627906976745,0.8571428571428571,0.25,0.3870967741935483
0.49,0.7368421052631579,0.5833333333333334,0.6511627906976745,0.8571428571428571,0.25,0.3870967741935483
0.5,0.7368421052631579,0.5833333333333334,0.6511627906976745,0.8571428571428571,0.25,0.3870967741935483
